Year|Datetime|Stage|Stadium|City|Home Team Name|Home Team Goals|Away Team Goals|Away Team Name|Win conditions|Attendance|Half-time Home Goals|Half-time Away Goals|Referee|Assistant 1|Assistant 2|RoundID|MatchID|Home Team Initials|Away Team Initials
2014|12 Jun 2014 - 17:00 |Group A|Arena de Sao Paulo|Sao Paulo |Brazil|3|1|Croatia| |62103|1|1|NISHIMURA Yuichi (JPN)|SAGARA Toru (JPN)|NAGI Toshiyuki (JPN)|255931|300186456|BRA|CRO
2014|13 Jun 2014 - 13:00 |Group A|Estadio das Dunas|Natal |Mexico|1|0|Cameroon| |39216|0|0|ROLDAN Wilmar (COL)|CLAVIJO Humberto (COL)|DIAZ Eduardo (COL)|255931|300186492|MEX|CMR
2014|13 Jun 2014 - 16:00 |Group B|Arena Fonte Nova|Salvador |Spain|1|5|Netherlands| |48173|1|1|Nicola RIZZOLI (ITA)|Renato FAVERANI (ITA)|Andrea STEFANI (ITA)|255931|300186510|ESP|NED
2014|13 Jun 2014 - 18:00 |Group B|Arena Pantanal|Cuiaba |Chile|3|1|Australia| |40275|2|1|Noumandiez DOUE (CIV)|YEO Songuifolo (CIV)|BIRUMUSHAHU Jean Claude (BDI)|255931|300186473|CHI|AUS
2014|14 Jun 2014 - 13:00 |Group C|Estadio Mineirao|Belo Horizonte |Colombia|3|0|Greece| |57174|1|0|GEIGER Mark (USA)|HURD Sean (USA)|FLETCHER Joe (CAN)|255931|300186471|COL|GRE
2014|14 Jun 2014 - 16:00 |Group D|Estadio Castelao|Fortaleza |Uruguay|1|3|Costa Rica| |58679|1|0|BRYCH Felix (GER)|BORSCH Mark (GER)|LUPP Stefan (GER)|255931|300186489|URU|CRC
2014|14 Jun 2014 - 18:00 |Group D|Arena Amazonia|Manaus |England|1|2|Italy| |39800|1|1|Bjï¿½rn KUIPERS (NED)|Sander VAN ROEKEL (NED)|Erwin ZEINSTRA (NED)|255931|300186513|ENG|ITA
2014|14 Jun 2014 - 22:00 |Group C|Arena Pernambuco|Recife |Cï¿½te d'Ivoire|2|1|Japan| |40267|0|1|OSSES Enrique (CHI)|ASTROZA Carlos (CHI)|ROMAN Sergio (CHI)|255931|300186507|CIV|JPN
2014|15 Jun 2014 - 13:00 |Group E|Estadio Nacional|Brasilia |Switzerland|2|1|Ecuador| |68351|0|1|Ravshan IRMATOV (UZB)|RASULOV Abduxamidullo (UZB)|KOCHKAROV Bakhadyr (KGZ)|255931|300186494|SUI|ECU
2014|15 Jun 2014 - 16:00 |Group E|Estadio Beira-Rio|Porto Alegre |France|3|0|Honduras| |43012|1|0|RICCI Sandro (BRA)|DE CARVALHO Emerson (BRA)|VAN GASSE Marcelo (BRA)|255931|300186496|FRA|HON
2014|15 Jun 2014 - 19:00 |Group F|Estadio do Maracana|Rio De Janeiro |Argentina|2|1|"rn"">Bosnia and Herzegovina"| |74738|1|0|AGUILAR Joel (SLV)|TORRES William (SLV)|ZUMBA Juan (SLV)|255931|300186477|ARG|BIH
2014|16 Jun 2014 - 13:00 |Group G|Arena Fonte Nova|Salvador |Germany|4|0|Portugal| |51081|3|0|MAZIC Milorad (SRB)|RISTIC Milovan (SRB)|DJURDJEVIC Dalibor (SRB)|255931|300186475|GER|POR
2014|16 Jun 2014 - 16:00 |Group F|Arena da Baixada|Curitiba |IR Iran|0|0|Nigeria| |39081|0|0|VERA Carlos (ECU)|LESCANO Christian (ECU)|ROMERO Byron (ECU)|255931|300186505|IRN|NGA
2014|16 Jun 2014 - 19:00 |Group G|Estadio das Dunas|Natal |Ghana|1|2|USA| |39760|0|1|ERIKSSON Jonas (SWE)|KLASENIUS Mathias (SWE)|WARNMARK Daniel (SWE)|255931|300186512|GHA|USA
2014|17 Jun 2014 - 13:00 |Group H|Estadio Mineirao|Belo Horizonte |Belgium|2|1|Algeria| |56800|0|1|RODRIGUEZ Marco (MEX)|TORRENTERA Marvin (MEX)|QUINTERO Marcos (MEX)|255931|300186479|BEL|ALG
2014|17 Jun 2014 - 16:00 |Group A|Estadio Castelao|Fortaleza |Brazil|0|0|Mexico| |60342|0|0|Cï¿½neyt ï¿½AKIR (TUR)|DURAN Bahattin (TUR)|ONGUN Tarik (TUR)|255931|300186509|BRA|MEX
2014|17 Jun 2014 - 18:00 |Group H|Arena Pantanal|Cuiaba |Russia|1|1|Korea Republic| |37603|0|0|PITANA Nestor (ARG)|MAIDANA Hernan (ARG)|BELATTI Juan Pablo (ARG)|255931|300186499|RUS|KOR
